	_id	correction.identifier	correction.@type	correction.correctionType	correction.url
0	pmid32525881	2020.03.31.20048876	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.31.20048876
1	pmid32485157	2020.05.22.20106328	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.22.20106328
2	pmid32497212	2020.04.27.20082347	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.27.20082347
3	pmid32382072	2020.04.09.033233	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.09.033233
4	pmid32398273	2020.03.27.012906	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.27.012906
5	pmid32536002	2020.06.03.132357	outbreak:Correction	preprint	https://doi.org/10.1101/2020.06.03.132357
6	pmid32485197	2020.05.14.20091843	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.14.20091843
7	pmid32335405	2020.03.30.20044099	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.30.20044099
8	pmid32244779	2020.03.15.992925	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.15.992925
9	pmid32615198	2020.06.14.20128876	outbreak:Correction	preprint	https://doi.org/10.1101/2020.06.14.20128876
10	pmid32045235	2020.02.10.936898	outbreak:Correction	preprint	https://doi.org/10.1101/2020.02.10.936898
11	pmid32492045	2020.04.06.20054841	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.06.20054841
12	pmid32629880	2020.06.02.20119313	outbreak:Correction	preprint	https://doi.org/10.1101/2020.06.02.20119313
13	pmid32280433	2020.01.31.929547	outbreak:Correction	preprint	https://doi.org/10.1101/2020.01.31.929547
14	pmid32146694	2020.02.20.20025619	outbreak:Correction	preprint	https://doi.org/10.1101/2020.02.20.20025619
15	pmid32441744	2020.05.07.20094516	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.07.20094516
16	pmid32471894	2020.05.11.089896	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.11.089896
17	pmid32575728	2020.04.20.052258	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.20.052258
18	pmid32479865	2020.04.03.20052548	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.03.20052548
19	pmid32410735	2020.03.04.976027	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.04.976027
20	pmid32574235	2020.03.23.20041533	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.23.20041533
21	pmid32579597	2020.05.21.20109082	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.21.20109082
22	pmid32427924	2020.04.12.20062661	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.12.20062661
23	pmid32346656	2020.04.09.20059857	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.09.20059857
24	pmid32571605	2020.04.24.20078568	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.24.20078568
25	pmid32355547	2020.02.19.20025148	outbreak:Correction	preprint	https://doi.org/10.1101/2020.02.19.20025148
26	pmid32355904	2020.04.06.20055624	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.06.20055624
27	pmid32471302	2020.04.26.20080846	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.26.20080846
28	pmid32540727	2020.03.13.20035261	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.13.20035261
29	pmid32641482	2020.04.02.021469	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.02.021469
30	pmid32574341	2020.03.13.20035642	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.13.20035642
31	pmid32547890	2020.05.16.20104422	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.16.20104422
32	pmid32461973	2020.02.04.934232	outbreak:Correction	preprint	https://doi.org/10.1101/2020.02.04.934232
33	pmid32304208	2020.04.03.20050195	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.03.20050195
34	pmid32404481	2020.04.29.20085514	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.29.20085514
35	pmid32493466	2020.02.21.20026435	outbreak:Correction	preprint	https://doi.org/10.1101/2020.02.21.20026435
36	pmid32566560	2020.04.20.20073288	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.20.20073288
37	pmid32570995	2020.06.19.20109173	outbreak:Correction	preprint	https://doi.org/10.1101/2020.06.19.20109173
38	pmid32399507	2020.04.30.20077594	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.30.20077594
39	pmid32645053	2020.04.22.20070441	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.22.20070441
40	pmid32311650	2020.03.02.20030452	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.02.20030452
41	pmid32564071	2020.05.04.20090902	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.04.20090902
42	pmid32540495	2020.05.14.096107	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.14.096107
43	pmid32540900	2020.05.15.096511	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.15.096511
44	pmid32628744	2020.06.10.20127084	outbreak:Correction	preprint	https://doi.org/10.1101/2020.06.10.20127084
45	pmid32612894	2020.04.02.20051557	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.02.20051557
46	pmid32573498	2020.04.30.20083907	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.30.20083907
47	pmid32527802	2020.05.06.20093377	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.06.20093377
48	pmid32629042	2020.06.16.151704	outbreak:Correction	preprint	https://doi.org/10.1101/2020.06.16.151704
49	pmid32253318	2020.03.16.20036145	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.16.20036145
50	pmid32106567	2020.02.03.933226	outbreak:Correction	preprint	https://doi.org/10.1101/2020.02.03.933226
51	pmid32443442	2020.05.04.20076349	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.04.20076349
52	pmid32425251	2020.04.22.20075200	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.22.20075200
53	pmid32232322	2020.03.24.20042598	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.24.20042598
54	pmid32570810	2020.04.17.042366	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.17.042366
55	pmid32587844	2020.04.29.20084517	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.29.20084517
56	pmid32605549	2020.04.28.20082743	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.28.20082743
57	pmid32404482	2020.05.05.20080044	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.05.20080044
58	pmid32566555	2020.04.13.20064378	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.13.20064378
59	pmid32574319	2020.03.06.20032177	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.06.20032177
60	pmid32513797	2020.05.06.081968	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.06.081968
61	pmid32246845	2020.03.13.991455	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.13.991455
62	pmid32383125	2020.05.01.20087999	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.01.20087999
63	pmid32404529	2020.05.08.084061	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.08.084061
64	pmid32363136	2020.03.06.977876	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.06.977876
65	pmid32027036	2020.02.02.931162	outbreak:Correction	preprint	https://doi.org/10.1101/2020.02.02.931162
66	pmid32502274	2020.04.16.20067496	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.16.20067496
67	pmid32558354	2020.04.04.20047886	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.04.20047886
68	pmid32535877	2020.05.06.20092833	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.06.20092833
69	pmid32636214	2020.06.06.20124123	outbreak:Correction	preprint	https://doi.org/10.1101/2020.06.06.20124123
70	pmid32355424	2020.04.09.20059311	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.09.20059311
71	pmid32257174	2020.02.16.20023804	outbreak:Correction	preprint	https://doi.org/10.1101/2020.02.16.20023804
72	pmid32518842	2020.03.10.20033761	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.10.20033761
73	pmid32566557	2020.04.13.20064352	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.13.20064352
74	pmid32584966	2020.04.24.20075291	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.24.20075291
75	pmid32501409	2020.04.29.20064279	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.29.20064279
76	pmid32620975	2020.04.16.20067421	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.16.20067421
77	pmid32375776	2020.03.31.20049023	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.31.20049023
78	pmid32471856	2020.04.08.20056929	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.08.20056929
79	pmid32427104	2020.04.14.20063420	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.14.20063420
80	pmid32348711	2020.03.18.20038448	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.18.20038448
81	pmid32517266	2020.05.13.094482	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.13.094482
82	pmid32387968	2020.04.22.20075564	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.22.20075564
83	pmid32343415	2020.04.13.20040980	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.13.20040980
84	pmid32428041	2020.03.04.20030973	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.04.20030973
85	pmid32633720	2020.04.19.20067660	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.19.20067660
86	pmid32231345	2020.03.09.983247	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.09.983247
87	pmid32469989	2020.04.21.20072405	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.21.20072405
88	pmid32320381	2020.03.09.20033381	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.09.20033381
89	pmid32361738	2020.03.25.20037721	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.25.20037721
90	pmid32446978	2020.05.02.20088336	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.02.20088336
91	pmid32497196	2020.04.15.20065623	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.15.20065623
92	pmid32594577	2020.03.12.20034231	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.12.20034231
93	pmid32579590	2020.04.15.20067025	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.15.20067025
94	pmid32222993	2020.03.15.20032870	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.15.20032870
95	pmid32578982	2020.03.31.014639	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.31.014639
96	pmid32656452	2020.05.07.083147	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.07.083147
97	pmid32419766	2020.05.04.20090274	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.04.20090274
98	pmid32348166	2020.03.31.20038935	outbreak:Correction	preprint	https://doi.org/10.1101/2020.03.31.20038935
99	pmid32587387	2020.05.30.20117572	outbreak:Correction	preprint	https://doi.org/10.1101/2020.05.30.20117572
100	pmid32562477	2020.04.20.20073155	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.20.20073155
101	pmid32191764	2020.02.22.20024927	outbreak:Correction	preprint	https://doi.org/10.1101/2020.02.22.20024927
102	pmid32508062	2020.04.17.20057125	outbreak:Correction	preprint	https://doi.org/10.1101/2020.04.17.20057125
